scheme,d,rep,verify_us
rechain,8,95,715.54
rechain,8,96,759.13
rechain,8,97,804.29
rechain,8,98,835.22
rechain,8,99,938.61
rechain,12,0,1333.22
rechain,12,1,1230.97
rechain,12,2,1174.43
rechain,12,3,768.41
rechain,12,4,905.30
rechain,12,5,951.04
rechain,12,6,1346.55
rechain,12,7,875.25
rechain,12,8,869.90
rechain,12,9,843.46
rechain,12,10,1077.90
rechain,12,11,1085.38
rechain,12,12,690.53
rechain,12,13,776.99
rechain,12,14,887.95
rechain,12,15,920.68
rechain,12,16,2342.61
rechain,12,17,1428.38
rechain,12,18,848.13
rechain,12,19,742.62
rechain,12,20,750.99
rechain,12,21,1456.76
rechain,12,22,777.60
rechain,12,23,876.02
rechain,12,24,1039.38
rechain,12,25,1123.39
rechain,12,26,1182.56
rechain,12,27,1154.78
rechain,12,28,1185.14
rechain,12,29,1129.68
rechain,12,30,1089.65
rechain,12,31,1200.65
rechain,12,32,772.94
rechain,12,33,796.37
rechain,12,34,932.88
rechain,12,35,1132.09
rechain,12,36,864.82
rechain,12,37,1838.08
rechain,12,38,1340.45
rechain,12,39,880.58
rechain,12,40,866.02
rechain,12,41,828.65
rechain,12,42,812.63
rechain,12,43,810.33
rechain,12,44,843.62
rechain,12,45,939.73
rechain,12,46,1974.37
rechain,12,47,698.30
rechain,12,48,742.34
rechain,12,49,864.14
rechain,12,50,1186.76
rechain,12,51,766.69
rechain,12,52,906.65
rechain,12,53,1178.89
rechain,12,54,1172.18
rechain,12,55,780.63
rechain,12,56,805.69
rechain,12,57,748.72
rechain,12,58,874.55
rechain,12,59,934.23
rechain,12,60,1023.69
rechain,12,61,1089.23
rechain,12,62,1124.30
rechain,12,63,1075.18
rechain,12,64,954.16
rechain,12,65,897.74
rechain,12,66,2694.90
rechain,12,67,945.14
rechain,12,68,1438.80
rechain,12,69,800.65
rechain,12,70,803.69
rechain,12,71,852.12
rechain,12,72,938.20
rechain,12,73,1005.96
rechain,12,74,831.64
rechain,12,75,746.37
rechain,12,76,863.08
rechain,12,77,1673.96
rechain,12,78,921.00
rechain,12,79,815.90
rechain,12,80,1106.35
rechain,12,81,793.20
rechain,12,82,1106.90
rechain,12,83,1359.44
rechain,12,84,732.11
rechain,12,85,801.46
rechain,12,86,891.38
rechain,12,87,938.86
rechain,12,88,946.77
rechain,12,89,899.55
rechain,12,90,894.70
rechain,12,91,978.41
rechain,12,92,1144.74
rechain,12,93,1218.15
rechain,12,94,808.17
rechain,12,95,1129.30
rechain,12,96,655.53
rechain,12,97,1046.81
rechain,12,98,745.77
rechain,12,99,894.76
rechain,16,0,1047.77
rechain,16,1,1036.98
rechain,16,2,1200.54
rechain,16,3,1106.11
rechain,16,4,1002.62
rechain,16,5,1125.51
rechain,16,6,1144.10
rechain,16,7,1130.74
rechain,16,8,1162.92
rechain,16,9,2191.05
rechain,16,10,1067.45
rechain,16,11,1145.47
rechain,16,12,2122.82
rechain,16,13,1362.78
rechain,16,14,1455.17
rechain,16,15,889.78
rechain,16,16,1145.01
rechain,16,17,1283.92
rechain,16,18,1954.78
rechain,16,19,1143.16
rechain,16,20,2159.50
rechain,16,21,1727.43
rechain,16,22,2158.09
rechain,16,23,3037.66
rechain,16,24,873.10
rechain,16,25,1093.62
rechain,16,26,1235.49
rechain,16,27,1302.82
rechain,16,28,1318.79
rechain,16,29,2535.88
rechain,16,30,1295.83
rechain,16,31,1110.45
rechain,16,32,1095.44
rechain,16,33,1107.22
rechain,16,34,913.46
rechain,16,35,1209.27
rechain,16,36,982.56
rechain,16,37,957.62
rechain,16,38,950.97
rechain,16,39,1031.26
rechain,16,40,1161.36
rechain,16,41,1291.29
rechain,16,42,5113.22
rechain,16,43,1344.29
rechain,16,44,937.46
rechain,16,45,1746.27
rechain,16,46,3536.20
rechain,16,47,2364.45
rechain,16,48,2401.44
rechain,16,49,2348.02
rechain,16,50,3003.57
rechain,16,51,5870.64
rechain,16,52,1537.87
rechain,16,53,926.26
rechain,16,54,1155.51
rechain,16,55,1147.71
rechain,16,56,1146.77
rechain,16,57,1114.18
rechain,16,58,1988.37
rechain,16,59,970.31
rechain,16,60,1539.15
rechain,16,61,1601.63
rechain,16,62,1494.53
rechain,16,63,1457.58
rechain,16,64,1095.96
rechain,16,65,1167.54
rechain,16,66,1304.97
rechain,16,67,1365.05
rechain,16,68,1386.14
rechain,16,69,1357.33
rechain,16,70,1400.68
rechain,16,71,2026.65
rechain,16,72,1337.76
rechain,16,73,1921.94
rechain,16,74,1290.24
rechain,16,75,1038.22
rechain,16,76,1831.47
rechain,16,77,993.18
rechain,16,78,1122.75
