scheme,d,rep,verify_us
rechain,64,38,12511.16
rechain,64,39,3657.61
rechain,64,40,4147.21
rechain,64,41,7669.24
rechain,64,42,7854.97
rechain,64,43,4252.57
rechain,64,44,4010.09
rechain,64,45,4140.66
rechain,64,46,5739.47
rechain,64,47,4175.45
rechain,64,48,3858.63
rechain,64,49,3717.21
rechain,64,50,3614.79
rechain,64,51,3435.52
rechain,64,52,3925.36
rechain,64,53,3534.69
rechain,64,54,3777.91
rechain,64,55,4068.07
rechain,64,56,5470.86
rechain,64,57,3767.15
rechain,64,58,3612.79
rechain,64,59,4067.19
rechain,64,60,5570.26
rechain,64,61,3317.74
rechain,64,62,3534.35
rechain,64,63,5631.86
rechain,64,64,4338.60
rechain,64,65,3903.47
rechain,64,66,6724.61
rechain,64,67,6189.81
rechain,64,68,5010.86
rechain,64,69,4638.57
rechain,64,70,5978.61
rechain,64,71,3808.74
rechain,64,72,6877.15
rechain,64,73,4697.36
rechain,64,74,3609.24
rechain,64,75,4489.94
rechain,64,76,6040.43
rechain,64,77,4456.57
rechain,64,78,4915.90
rechain,64,79,6989.09
rechain,64,80,3807.02
rechain,64,81,5049.89
rechain,64,82,5915.85
rechain,64,83,4382.05
rechain,64,84,4057.58
rechain,64,85,3774.18
rechain,64,86,5372.57
rechain,64,87,3688.14
rechain,64,88,3525.86
rechain,64,89,4896.46
rechain,64,90,4087.12
rechain,64,91,4469.61
rechain,64,92,4568.48
rechain,64,93,6852.39
rechain,64,94,6677.33
rechain,64,95,4792.86
rechain,64,96,6550.97
rechain,64,97,4189.91
rechain,64,98,4251.77
rechain,64,99,4335.89
evmldsa,0,0,70.41
evmldsa,0,1,91.05
evmldsa,0,2,74.48
evmldsa,0,3,70.92
evmldsa,0,4,69.73
evmldsa,0,5,71.25
evmldsa,0,6,78.21
evmldsa,0,7,78.61
evmldsa,0,8,72.96
evmldsa,0,9,69.98
evmldsa,0,10,71.10
evmldsa,0,11,71.80
evmldsa,0,12,71.78
evmldsa,0,13,75.65
evmldsa,0,14,77.72
evmldsa,0,15,77.12
evmldsa,0,16,74.05
evmldsa,0,17,72.45
evmldsa,0,18,80.39
evmldsa,0,19,68.21
evmldsa,0,20,67.92
evmldsa,0,21,68.26
evmldsa,0,22,67.94
evmldsa,0,23,69.32
evmldsa,0,24,68.96
evmldsa,0,25,68.36
evmldsa,0,26,81.83
evmldsa,0,27,70.84
evmldsa,0,28,69.08
evmldsa,0,29,69.77
evmldsa,0,30,67.85
evmldsa,0,31,80.11
evmldsa,0,32,68.14
evmldsa,0,33,66.30
evmldsa,0,34,66.32
evmldsa,0,35,68.46
evmldsa,0,36,67.92
